"id","diem_doi","hinh_anh_url","ten_dich_vu"
"11","300","https://upload.wikimedia.org/wikipedia/commons/0/09/Popcorn02.jpg","Bắp Thường"
"12","350","https://static.wixstatic.com/media/35f3d9_5b91c3b320af4d96b9ee85b67332965b~mv2.jpg/v1/fill/w_560,h_352,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/Image-empty-state.jpg","Bắp Phô Mai"
"13","350","https://cdn.eva.vn//upload/3-2013/images/2013-09-30/1380527354-8.jpg","Bắp Caramel"
"14","200","https://img.asmedia.epimg.net/resizer/v2/DSWLWJ7BVJD25JQT7YTRI63ES4.jpg?auth=e5ecd62e9d7c277d574a06940a3e8a964507e07307948442af52764f398bbdcd&width=1200&height=1200&smart=true","Coca Cola"
"15","200","https://ktmt.vnmediacdn.com/images/2022/05/09/13-1652060192-anh-1.jpg","Pepsi"
"16","250","https://lh5.googleusercontent.com/proxy/-apuGHWEhvIvc8ZMzVzzIg6-1FChCdgW2Co60VNUmobF2KbUcMirFO_9MwLcAVH2j2E7yoZJ5UA0Zbigztvv3BnXRwghJvXOyCTn6QrE_Q-nQci9lkFD5lyS","Milo"
"17","200","https://as2.ftcdn.net/v2/jpg/18/67/70/11/1000_F_1867701190_YKrzqXvOQFFTBzdHcjc3LgszTF7vK3XA.jpg","Sprite"
"18","200","https://c8.alamy.com/comp/2PPH09C/can-of-7-up-drink-in-crashed-ice-2PPH09C.jpg","7Up"
"19","450","https://media.istockphoto.com/id/681903568/vi/anh/b%E1%BB%8Fng-ng%C3%B4-trong-h%E1%BB%99p-v%E1%BB%9Bi-cola.jpg?s=612x612&w=0&k=20&c=K3GZEiD0fB31ufVuEkJZsxOt8ZTm5YaMMr7Eh2-rKjI=","Combo Solo (1 Bắp + 1 Nước)"
"20","750","https://static.wixstatic.com/media/45c4d7_e4d4d8f5f94d41e38007ca35573dd15a~mv2.jpg/v1/fill/w_480,h_480,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/45c4d7_e4d4d8f5f94d41e38007ca35573dd15a~mv2.jpg","Combo Couple (1 Bắp Phô Mai + 2 Nước)"
