"id","loai_ghe","phien_ban","phien_giao_dich","thoi_gian_het_han_giu_cho","trang_thai","don_hang_id","suat_chieu_id"
"201","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"202","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"203","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"204","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"205","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"206","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"207","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"208","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"209","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"210","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"211","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"212","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"213","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"214","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"215","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"216","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"217","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"218","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"219","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"220","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"221","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"222","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"223","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"224","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"225","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"226","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"227","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"228","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"229","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"230","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"231","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"232","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"233","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"234","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"235","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"236","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"237","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"238","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"239","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"240","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"241","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"242","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"243","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"244","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"245","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"246","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"247","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"248","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"249","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"250","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"251","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"252","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"253","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"254","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"255","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"256","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"257","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"258","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"259","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"260","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"261","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"262","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"263","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"264","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"265","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"266","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"267","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"268","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"269","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"270","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"271","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"272","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"273","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"274","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"275","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"276","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"277","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"278","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"279","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"280","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"281","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"282","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"283","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"284","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"285","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"286","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"287","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
"288","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"4"
