"id","diem_doi","hinh_anh_url","ten_dich_vu"
"1","300","https://upload.wikimedia.org/wikipedia/commons/0/09/Popcorn02.jpg","Bắp Thường"
"2","350","https://static.wixstatic.com/media/35f3d9_5b91c3b320af4d96b9ee85b67332965b~mv2.jpg/v1/fill/w_560,h_352,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/Image-empty-state.jpg","Bắp Phô Mai"
"3","350","https://cdn.eva.vn//upload/3-2013/images/2013-09-30/1380527354-8.jpg","Bắp Caramel"
"4","200","https://img.asmedia.epimg.net/resizer/v2/DSWLWJ7BVJD25JQT7YTRI63ES4.jpg?auth=e5ecd62e9d7c277d574a06940a3e8a964507e07307948442af52764f398bbdcd&width=1200&height=1200&smart=true","Coca Cola"
"5","200","https://ktmt.vnmediacdn.com/images/2022/05/09/13-1652060192-anh-1.jpg","Pepsi"
"6","250","https://lh5.googleusercontent.com/proxy/-apuGHWEhvIvc8ZMzVzzIg6-1FChCdgW2Co60VNUmobF2KbUcMirFO_9MwLcAVH2j2E7yoZJ5UA0Zbigztvv3BnXRwghJvXOyCTn6QrE_Q-nQci9lkFD5lyS","Milo"
"7","200","https://as2.ftcdn.net/v2/jpg/18/67/70/11/1000_F_1867701190_YKrzqXvOQFFTBzdHcjc3LgszTF7vK3XA.jpg","Sprite"
"8","200","https://c8.alamy.com/comp/2PPH09C/can-of-7-up-drink-in-crashed-ice-2PPH09C.jpg","7Up"
"9","450","https://media.istockphoto.com/id/681903568/vi/anh/b%E1%BB%8Fng-ng%C3%B4-trong-h%E1%BB%99p-v%E1%BB%9Bi-cola.jpg?s=612x612&w=0&k=20&c=K3GZEiD0fB31ufVuEkJZsxOt8ZTm5YaMMr7Eh2-rKjI=","Combo Solo (1 Bắp + 1 Nước)"
"10","750","https://static.wixstatic.com/media/45c4d7_e4d4d8f5f94d41e38007ca35573dd15a~mv2.jpg/v1/fill/w_480,h_480,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/45c4d7_e4d4d8f5f94d41e38007ca35573dd15a~mv2.jpg","Combo Couple (1 Bắp Phô Mai + 2 Nước)"
"id","danh_sach_dich_vu","danh_sach_ghe","email_khach_hang","sdt_khach_hang","thoi_gian_tao","tong_diem_su_dung","tong_tien","tong_tien_goc","trang_thai_thanh_toan","khuyen_mai_id","nguoi_dung_id"
"id","loai_ghe","phien_ban","phien_giao_dich","thoi_gian_het_han_giu_cho","trang_thai","don_hang_id","suat_chieu_id"
"1","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"1"
"2","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"1"
"3","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"1"
"4","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"1"
"5","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"1"
"6","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"1"
"7","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"1"
"8","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"1"
"9","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"1"
"10","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"1"
"11","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"1"
"12","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"1"
"13","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"1"
"14","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"1"
"15","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"1"
"16","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"1"
"17","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"1"
"18","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"1"
"19","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"1"
"20","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"1"
"21","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"1"
"22","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"1"
"23","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"1"
"24","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"1"
"25","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"1"
"26","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"1"
"27","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"1"
"28","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"1"
"29","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"1"
"30","THUONG","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"1"
"31","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"1"
"32","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"1"
"33","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"1"
"34","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"1"
"35","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"1"
"36","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"1"
"37","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"1"
"38","VIP","1",NULL,"2026-04-14 11:30:00.000000","TRONG",NULL,"1"
